x,Horizontal Ground Forces,Vertical Ground Forces
0.8927,36.8,48.8
0.8957,23.1,35.6
0.9007,14.5,13.9
0.9018,7.2,9.5
0.9023,1.13687e-13,7.2
0.9038,1.13687e-13,0.7
0.904,1.13687e-13,0.7
0.9048,2.2,0.7
0.9048,-0.7,0.7
0.9053,1.13687e-13,0.7
0.9978,1.13687e-13,0.02
1.001,-1.4,1.13687e-13
1.001,-1.4,1.13687e-13
